class,label,gloss
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_government,government building,"For government buildings in general, including municipal, provincial and divisional secretaries, government agencies and departments, town halls, (regional) parliaments and court houses."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_hospital,hospital,A building errected for a hospital. 
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_public,public place,"A building constructed as accessible to the general public (a town hall, police station, court house, etc.)."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_public,public area,"A building constructed as accessible to the general public (a town hall, police station, court house, etc.)."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_toilets,toilet,A toilet block.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_train_station,train station,"A building constructed to be a train station building, including buildings that are abandoned and used nowadays for a different purpose."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_transportation,transportation,A building related to public transport.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_kindergarten,kindergarten,For any generic kindergarten buildings. Buildings for specific uses (sports halls etc.) should be tagged for their purpose.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_school,school,A building errected as school. Buildings for specific uses (sports halls etc.) should be tagged for their purpose. 
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_university,university,A university building. 
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_college,college,A college building.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_barn,barn,An agricultural building used for storage and as a covered workplace.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_conservatory,conservatory,A building or room having glass or tarpaulin roofing and walls used as an indoor garden or a sunroom (winter garden).
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_cowshed,cowshed,"A cowshed (cow barn, cow house) is a building for housing cows, usually found on farms."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_farm_auxiliary,farm auxiliary,A building on a farm that is not a dwelling (use 'farm' or 'house' for the farm house).
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_greenhouse,greenhouse,A greenhouse is a glass or plastic covered building used to grow plants.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_slurry_tank,slurry tank,A circular building built to hold a liquid mix of primarily animal excreta (also known as slurry).
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_stable,stable,A stable is a building where horses are kept.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_sty,sty,"A sty (pigsty, pig ark, pig-shed) is a building for raising domestic pigs, usually found on farms."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_grandstand,grandstand,"The main stand, usually roofed, commanding the best view for spectators at racecourses or sports grounds."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_pavilion,pavilion,"A sports pavilion usually with changing rooms, storage areas and possibly an space for functions & events. Avoid using this term for other structures called pavilions by architects (see [W] Pavilion)"
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_riding_hall,riding hall,A building that was built as a riding hall.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_sports_hall,sports hall,A building that was built as a sports hall.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_stadium,stadium,"A building constructed to be a stadium building, including buildings that are abandoned and used nowadays for a different purpose."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_hangar,hangar,"A hangar is a building used for the storage of airplanes, helicopters or space-craft."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_hut,hut,A hut is a small and crude shelter. Note that this word has two meanings.
